productId,articleNo,price,countryOfOrigin,supplierId,supplierName
100030,0 986 424 899,45.37,Germany,30,BOSCH
100030,0 986 424 912,23.39,Germany,30,BOSCH
100030,0 986 495 169,44.17,Germany,30,BOSCH
100030,13.0460-5634.2,79.09,Germany,3,ATE
100030,13.0460-5693.2,40.04,Germany,3,ATE
100030,13.0470-5634.2,89.82,Germany,3,ATE
100030,13.0470-5693.2,46.67,Germany,3,ATE
100030,22-0938-0,38.41,Italy,121,METELLI
100030,22-1227-0,40.43,Italy,121,METELLI
100030,22-1229-0,27.85,Italy,121,METELLI
100030,2243401,32.31,Germany,39,TEXTAR
100030,2276801,41.29,Germany,39,TEXTAR
100030,22768.165.1,57.83,Germany,86,ZIMMERMANN
100030,24452 00 551 00,44.61,Poland,281,BRECK
100030,302224,36.40,France,21,VALEO
100030,35135,26.47,Netherlands,206,A.B.S.
100030,37844,26.06,Netherlands,206,A.B.S.
100030,51-02-234,23.73,Japan,257,ASHIKA
100030,51234,21.97,Japan,481,JAPKO
100030,601533,24.76,France,21,VALEO
100030,822-1227-0,43.23,Italy,311,CIFAM
100030,8DB 355 025-121,36.70,Germany,2,HELLA
100030,J3602009,46.71,Germany,55,HERTH+BUSS JAKOPARTS
100030,J3612045,27.83,Germany,55,HERTH+BUSS JAKOPARTS
100030,KBP-9116,42.26,Netherlands,201,KAVO PARTS
100030,KBP-9149,21.99,Netherlands,201,KAVO PARTS
100030,LP2201,36.49,United Kingdom,89,DELPHI
100030,LP3392,19.76,United Kingdom,89,DELPHI
100030,LP3596,41.28,United Kingdom,89,DELPHI
100030,LP3599,23.45,United Kingdom,89,DELPHI
100030,P83145,36.84,Netherlands,206,A.B.S.
100030,P 83 160,27.61,Italy,65,BREMBO
100030,P 83 172,42.65,Italy,65,BREMBO
100030,QP6279,27.98,Poland,4821,QUARO
100030,TX 19-64,37.23,Poland,4377,TOMEX Brakes
100032,08.D418.11,35.14,Netherlands,206,A.B.S.
100032,09.D979.11,58.41,Italy,65,BREMBO
100032,09.E126.11,56.77,Netherlands,206,A.B.S.
100032,18408,39.03,Netherlands,206,A.B.S.
100032,18621,48.49,Netherlands,206,A.B.S.
100032,30-15 521 0130/PD,55.98,Germany,144,MEYLE
100032,8DD 355 132-401,30.53,Germany,2,HELLA
100032,92301403,40.04,Germany,39,TEXTAR
100032,BG4691C,52.13,United Kingdom,89,DELPHI
100032,BG4928C,34.69,United Kingdom,89,DELPHI
100032,BG5082C,36.64,United Kingdom,89,DELPHI
100032,BG5117C,54.55,United Kingdom,89,DELPHI
100032,BG9358C,63.19,United Kingdom,89,DELPHI
100032,BR-9482-C,68.64,Netherlands,201,KAVO PARTS
100032,BR-9532-C,26.45,Netherlands,201,KAVO PARTS
100032,BR-9572-C,44.01,Netherlands,201,KAVO PARTS
100032,DF8335,39.05,Germany,161,TRW
100032,N3302190,91.95,Netherlands,248,NIPPARTS
100630,109-0001,10.38,Denmark,6304,QUICK BRAKE
100630,8105 131649,22.42,Denmark,108,TRISCAN
100806,0088,0.81,Denmark,6304,QUICK BRAKE
100806,0174-ACV40LOW,5.95,Japan,4674,FEBEST
100806,0174-ACV40UP,4.96,Japan,4674,FEBEST
100806,0176-NZE154F,17.49,Japan,4674,FEBEST
100806,113-0043X,7.35,Denmark,6304,QUICK BRAKE
100806,113-1492X,7.56,Denmark,6304,QUICK BRAKE
100806,169109,26.07,Denmark,114,BUDWEG CALIPER
100806,189972,7.31,Denmark,114,BUDWEG CALIPER
100806,189986,8.40,Denmark,114,BUDWEG CALIPER
100806,8105 3681,2.24,Denmark,108,TRISCAN
100806,8170 189972,12.24,Denmark,108,TRISCAN
100806,8170 236051,22.40,Denmark,108,TRISCAN
100806,8945042,13.68,Denmark,127,NK
100806,D7180C,12.71,Spain,351,AUTOFREN SEINSA
100806,J3273006,12.44,Germany,55,HERTH+BUSS JAKOPARTS
100806,J3292000,8.37,Germany,55,HERTH+BUSS JAKOPARTS
100806,KS1095,19.49,United Kingdom,89,DELPHI
100806,TT-CS,1.70,Japan,4674,FEBEST
100807,3285620,140.11,Denmark,460,DRI
100807,4211230,179.66,Denmark,460,DRI
100807,740581,62.44,Netherlands,206,A.B.S.
100807,740582,84.30,Netherlands,206,A.B.S.
100807,741092,165.19,Netherlands,206,A.B.S.
100807,8170 345261,266.96,Denmark,108,TRISCAN
100807,82-2589,57.88,Denmark,226,ELSTOCK
100807,83-2589,78.14,Denmark,226,ELSTOCK
102208,04206,9.90,Netherlands,4907,KROON OIL
102208,109434,6.88,Spain,6343,REPSOL
