articleNo,articleProductName,productId,price,supplierId,priceSource,countryOfOrigin,countryOfOriginSource
741092,Brake Caliper,78,183.44,206,2,Italy,0
741091,Brake Caliper,78,177.52,206,3,Italy,0
740582,Brake Caliper,78,162.95,206,2,Italy,0
740581,Brake Caliper,78,198.65,206,1,Italy,0
CA3407R,Brake Caliper,78,166.82,381,2,Italy,0
CA3407,Brake Caliper,78,153.77,381,1,Italy,0
204545,"Repair Kit, brake caliper",405,73.21,114,3,Germany,0
345260,Brake Caliper,78,169.48,114,2,Germany,0
345261,Brake Caliper,78,155.99,114,1,Germany,0
ET7774,Brake Caliper,78,186.02,332,3,Italy,0
4111230,Brake Caliper,78,147.77,460,1,Spain,0
4211230,Brake Caliper,78,172.54,460,2,Spain,0
3285620,Brake Caliper,78,161.60,460,3,Spain,0
3259820,Brake Caliper,78,180.93,460,1,Spain,0
3185620,Brake Caliper,78,153.37,460,2,Spain,0
3159820,Brake Caliper,78,149.25,460,3,Spain,0
83-2865,Brake Caliper,78,171.83,226,2,Italy,0
83-2589,Brake Caliper,78,152.92,226,1,Italy,0
86-3121,Brake Caliper,78,157.31,226,2,Italy,0
82-2865,Brake Caliper,78,178.43,226,3,Italy,0
82-2589,Brake Caliper,78,162.50,226,1,Italy,0
87-3121,Brake Caliper,78,169.06,226,2,Italy,0
53012145282,Brake Caliper,78,174.81,4770,3,China,0
53012145281,Brake Caliper,78,161.10,4770,2,China,0
0199-CAP1-PCS10,"Cover, brake caliper",2247,55.12,4674,1,China,0
J3282002,"Repair Kit, brake caliper",405,72.40,55,3,Germany,0
J3212175,Brake Caliper,78,158.66,55,2,Germany,0
J3222175,Brake Caliper,78,187.73,55,1,Germany,0
EUB-12145281,Brake Caliper,78,190.22,4773,2,China,0
EUB-12145282,Brake Caliper,78,148.38,4773,3,China,0
2145282,Brake Caliper,78,152.77,127,2,Germany,0
2145281,Brake Caliper,78,180.10,127,1,Germany,0
13012145281,Brake Caliper,78,168.42,297,3,Italy,0
13012145282,Brake Caliper,78,159.31,297,2,Italy,0
BR007630,Brake Caliper,78,184.95,4830,1,China,0
BR007631,Brake Caliper,78,176.43,4830,2,China,0
BR008238,Brake Caliper,78,153.10,4830,3,China,0
BR008239,Brake Caliper,78,161.50,4830,1,China,0
BR08940,Brake Caliper,78,155.64,4830,2,China,0
BR08941,Brake Caliper,78,182.19,4830,3,China,0
8170 345260,Brake Caliper,78,190.82,108,1,Germany,0
8170 345261,Brake Caliper,78,164.33,108,2,Germany,0
BHU365E,Brake Caliper,78,178.42,161,3,Germany,0
BHU364E,Brake Caliper,78,170.06,161,1,Germany,0
D7180C,"Guide Sleeve Kit, brake caliper",1165,45.88,351,2,Italy,0
P0088,"Bleeder Screw/Valve, brake caliper",5213,20.33,4878,3,China,0
236051,"Piston, brake caliper",2248,65.74,114,2,Germany,0
169109,"Guide Sleeve Kit, brake caliper",1165,49.05,114,1,Germany,0
234539,"Piston, brake caliper",2248,68.11,114,3,Germany,0
