"articleNo","articleProductName","productId","price","supplierId","priceSource","countryOfOrigin","countryOfOriginSource"
"0088","Bleeder Screw/Valve, brake caliper",5213,"0.96",6304,1,NULL,NULL
"0101-GSV70F","Brake Pad Set, disc brake",402,"4.08",4674,1,NULL,NULL
"0101-GYL25R","Brake Pad Set, disc brake",402,"18.52",4674,1,NULL,NULL
"0174-ACV40LOW","Guide Bolt, brake caliper",2169,"6.42",4674,1,NULL,NULL
"0174-ACV40UP","Guide Bolt, brake caliper",2169,"5.35",4674,1,NULL,NULL
"0176-ASU40F","Piston, brake caliper",2248,"4.1",4674,1,NULL,NULL
"0176-NZE154F","Piston, brake caliper",2248,"17.25",4674,1,NULL,NULL
"0199-CAP1-PCS10","Cover, brake caliper",2247,"4.28",4674,1,NULL,NULL
"08.D418.11","Brake Disc",82,"34.66",206,1,NULL,NULL
"0 986 424 899","Brake Pad Set, disc brake",402,"48.51",30,1,NULL,NULL
"0 986 424 912","Brake Pad Set, disc brake",402,"24.64",30,1,NULL,NULL
"0 986 479 E91","Brake Disc",82,"10.46",30,1,NULL,NULL
"0 986 479 H04","Brake Disc",82,"10.46",30,1,NULL,NULL
"0 986 479 H19","Brake Disc",82,"10.46",30,1,NULL,NULL
"0 986 479 T00","Brake Disc",82,"10.46",30,1,NULL,NULL
"0 986 495 169","Brake Pad Set, disc brake",402,"44.85",30,1,NULL,NULL
"09.D979.11","Brake Disc",82,"54.47",65,1,NULL,NULL
"09.E126.11","Brake Disc",82,"53.89",206,1,NULL,NULL
"1047","Brake Pad Set, disc brake",402,"14.31",249,1,NULL,NULL
"109-0001","Accessory Kit, disc brake pad",1164,"10.09",286,1,NULL,NULL
"109-0001","Accessory Kit, disc brake pad",1164,"10.09",6304,1,NULL,NULL
"1110526","Brake Disc",82,"28.85",317,1,NULL,NULL
"113-0043X","Guide Sleeve Kit, brake caliper",1165,"7.34",94,1,NULL,NULL
"113-0043X","Guide Sleeve Kit, brake caliper",1165,"7.34",6304,1,NULL,NULL
"113-1492X","Guide Sleeve Kit, brake caliper",1165,"8.74",94,1,NULL,NULL
"113-1492X","Guide Sleeve Kit, brake caliper",1165,"8.74",286,1,NULL,NULL
"113-1492X","Guide Sleeve Kit, brake caliper",1165,"8.74",6304,1,NULL,NULL
"1227.0","Brake Pad Set, disc brake",402,"17.58",199,1,NULL,NULL
"1227.0","Brake Pad Set, disc brake",402,"17.58",295,1,NULL,NULL
"1229.0","Brake Pad Set, disc brake",402,"52.69",199,1,NULL,NULL
"1229.0","Brake Pad Set, disc brake",402,"52.69",295,1,NULL,NULL
"13012145281","Brake Caliper",78,"102.57",297,1,NULL,NULL
"13012145282","Brake Caliper",78,"102.57",297,1,NULL,NULL
"13.0460-5634.2","Brake Pad Set, disc brake",402,"67.09",3,1,NULL,NULL
"13.0460-5693.2","Brake Pad Set, disc brake",402,"34.25",3,1,NULL,NULL
"13.0470-5634.2","Brake Pad Set, disc brake",402,"88.33",3,1,NULL,NULL
"13.0470-5693.2","Brake Pad Set, disc brake",402,"45.34",3,1,NULL,NULL
"1382","Brake Pad Set, disc brake",402,"7.25",249,1,NULL,NULL
"169109","Guide Sleeve Kit, brake caliper",1165,"25.71",114,1,NULL,NULL
"1787.00","Brake Pad Set, disc brake",402,"33.79",153,1,NULL,NULL
"18153145176","Brake Disc",82,"38.11",297,1,NULL,NULL
"181982","Brake Pad Set, disc brake",402,"24.42",158,1,NULL,NULL
"182262","Brake Pad Set, disc brake",402,"133.84",158,1,NULL,NULL
"182307","Brake Pad Set, disc brake",402,"19.84",158,1,NULL,NULL
"182376","Brake Pad Set, disc brake",402,"11.62",158,1,NULL,NULL
"18408","Brake Disc",82,"16.85",206,1,NULL,NULL
"18621","Brake Disc",82,"4.2",206,1,NULL,NULL
"18821","Brake Disc",82,"43.66",206,1,NULL,NULL
"189972","Seal, brake caliper piston",1724,"7.21",114,1,NULL,NULL
"189986","Seal, brake caliper piston",1724,"10.26",114,1,NULL,NULL
"19000","Brake Fluid",3357,"65.59",1402,1,NULL,NULL
"20000_","Brake Fluid",3357,"4.04",1402,1,NULL,NULL
"20246 V","Brake Disc",82,"8.54",283,1,NULL,NULL
"2045176","Brake Disc",82,"38.11",127,1,NULL,NULL
"204545","Repair Kit, brake caliper",405,"22.98",114,1,NULL,NULL
"2145281","Brake Caliper",78,"49.36",127,1,NULL,NULL
"2145282","Brake Caliper",78,"49.36",127,1,NULL,NULL
"21787.00","Brake Pad Set, disc brake",402,"19.84",152,1,NULL,NULL
"22-0938-0","Brake Pad Set, disc brake",402,"37.81",121,1,NULL,NULL
"22-1227-0","Brake Pad Set, disc brake",402,"39.81",121,1,NULL,NULL
"22-1229-0","Brake Pad Set, disc brake",402,"27.42",121,1,NULL,NULL
"2243401","Brake Pad Set, disc brake",402,"31.87",39,1,NULL,NULL
"2245107","Brake Pad Set, disc brake",402,"24.42",127,1,NULL,NULL
"2245117","Brake Pad Set, disc brake",402,"18.52",127,1,NULL,NULL
"2245123","Brake Pad Set, disc brake",402,"20.55",127,1,NULL,NULL
"2276801","Brake Pad Set, disc brake",402,"40.64",39,1,NULL,NULL
"22768.165.1","Brake Pad Set, disc brake",402,"55.91",86,1,NULL,NULL
"234539","Piston, brake caliper",2248,"68.84",114,1,NULL,NULL
"236051","Piston, brake caliper",2248,"13.96",114,1,NULL,NULL
"24452 00 551 00","Brake Pad Set, disc brake",402,"57.15",281,1,NULL,NULL
"30-15 521 0130/PD","Brake Disc",82,"51.68",144,1,NULL,NULL
"302224","Brake Pad Set, disc brake",402,"34.47",21,1,NULL,NULL
"3145176","Brake Disc",82,"38.11",127,1,NULL,NULL
"3145181","Brake Disc",82,"26.03",127,1,NULL,NULL
"3159820","Brake Caliper",78,"49.36",460,1,NULL,NULL
"3185620","Brake Caliper",78,"83.16",460,1,NULL,NULL
"3259820","Brake Caliper",78,"49.36",460,1,NULL,NULL
"3285620","Brake Caliper",78,"162.93",460,1,NULL,NULL
"345260","Brake Caliper",78,"13.33",114,1,NULL,NULL
"345261","Brake Caliper",78,"8.54",114,1,NULL,NULL
"35135","Brake Pad Set, disc brake",402,"80.53",206,1,NULL,NULL
"37844","Brake Pad Set, disc brake",402,"5.07",206,1,NULL,NULL
"410182","Guide Sleeve Kit, brake caliper",1165,"3.73",4512,1,NULL,NULL
"4111230","Brake Caliper",78,"9.6",460,1,NULL,NULL
"4211230","Brake Caliper",78,"5.18",460,1,NULL,NULL
"49-1991","Guide Sleeve Kit, brake caliper",1165,"8.74",403,1,NULL,NULL
"50-02-2026","Brake Pad Set, disc brake",402,"2.71",257,1,NULL,NULL
"5015","Brake Fluid",3357,"15.06",188,1,NULL,NULL
"5015","Brake Fluid",3357,"15.06",189,1,NULL,NULL
"502026","Brake Pad Set, disc brake",402,"6.52",481,1,NULL,NULL
"5038","Brake Fluid",3357,"25.68",188,1,NULL,NULL
"5038","Brake Fluid",3357,"25.68",189,1,NULL,NULL
"5039","Brake Fluid",3357,"27.56",188,1,NULL,NULL
"5039","Brake Fluid",3357,"27.56",189,1,NULL,NULL
"5075","Brake Fluid",3357,"8.91",188,1,NULL,NULL
"5075","Brake Fluid",3357,"8.91",189,1,NULL,NULL
"5093","Brake Fluid",3357,"15.23",188,1,NULL,NULL
"5093","Brake Fluid",3357,"15.23",189,1,NULL,NULL
"51-02-234","Brake Pad Set, disc brake",402,"23.41",257,1,NULL,NULL
"51234","Brake Pad Set, disc brake",402,"17.25",481,1,NULL,NULL
"601533","Brake Pad Set, disc brake",402,"254.57",21,1,NULL,NULL
"670224","Brake Pad Set, disc brake",402,"247.63",21,1,NULL,NULL
"670249","Brake Pad Set, disc brake",402,"114.63",21,1,NULL,NULL
"740581","Brake Caliper",78,"61.63",206,1,NULL,NULL
"740582","Brake Caliper",78,"60.94",206,1,NULL,NULL
"741091","Brake Caliper",78,"83.16",206,1,NULL,NULL
"741092","Brake Caliper",78,"162.93",206,1,NULL,NULL
"8105 131649","Accessory Kit, disc brake pad",1164,"22.11",108,1,NULL,NULL
"8105 3681","Bleeder Screw/Valve, brake caliper",5213,"2.22",108,1,NULL,NULL
"8170 189972","Seal, brake caliper piston",1724,"12.07",108,1,NULL,NULL
"8170 236051","Piston, brake caliper",2248,"22.09",108,1,NULL,NULL
"8170 345260","Brake Caliper",78,"263.32",108,1,NULL,NULL
"8170 345261","Brake Caliper",78,"263.32",108,1,NULL,NULL
"822-1227-0","Brake Pad Set, disc brake",402,"42.64",311,1,NULL,NULL
"822-1229-0","Brake Pad Set, disc brake",402,"51.78",311,1,NULL,NULL
"82-2589","Brake Caliper",78,"49.36",226,1,NULL,NULL
"82-2865","Brake Caliper",78,"0.39",226,1,NULL,NULL
"822-938-0","Brake Pad Set, disc brake",402,"24.42",311,1,NULL,NULL
"83-2589","Brake Caliper",78,"263.92",226,1,NULL,NULL
"83-2865","Brake Caliper",78,"28.35",226,1,NULL,NULL
"86-3121","Brake Caliper",78,"4.39",226,1,NULL,NULL
"87-3121","Brake Caliper",78,"15.64",226,1,NULL,NULL
"8945042","Guide Sleeve, brake caliper",2170,"32.46",127,1,NULL,NULL
"8DB 355 025-121","Brake Pad Set, disc brake",402,"35.81",2,1,NULL,NULL
"8DB 355 025-121","Brake Pad Set, disc brake",402,"35.81",4625,1,NULL,NULL
"8DB 355 036-511","Brake Pad Set, disc brake",402,"4.51",2,1,NULL,NULL
"8DB 355 036-511","Brake Pad Set, disc brake",402,"4.51",4625,1,NULL,NULL
"8DD 355 132-401","Brake Disc",82,"44.06",2,1,NULL,NULL
"8DD 355 132-401","Brake Disc",82,"44.06",4625,1,NULL,NULL
"92301403","Brake Disc",82,"39.41",39,1,NULL,NULL
"954.0","Brake Pad Set, disc brake",402,"101.28",199,1,NULL,NULL
"954.0","Brake Pad Set, disc brake",402,"101.28",295,1,NULL,NULL
"BDS2096","Brake Disc",82,"26.03",4373,1,NULL,NULL
"BG4691C","Brake Disc",82,"52.47",89,1,NULL,NULL
"BG4928C","Brake Disc",82,"33.18",89,1,NULL,NULL
"BG5082C","Brake Disc",82,"38.37",89,1,NULL,NULL
"BG5117C","Brake Disc",82,"53.78",89,1,NULL,NULL
"BG9358C","Brake Disc",82,"60.59",89,1,NULL,NULL
"BHU364E","Brake Caliper",78,"8.54",161,1,NULL,NULL
"BHU365E","Brake Caliper",78,"8.54",161,1,NULL,NULL
"BL2888A1","Brake Pad Set, disc brake",402,"19.84",54,1,NULL,NULL
"BL2975A1","Brake Pad Set, disc brake",402,"18.52",54,1,NULL,NULL
"BPD1892","Brake Pad Set, disc brake",402,"18.52",4373,1,NULL,NULL
"BPD1901","Brake Pad Set, disc brake",402,"19.84",4373,1,NULL,NULL
"BR-9482-C","Brake Disc",82,"66.5",201,1,NULL,NULL
"BR-9532-C","Brake Disc",82,"26.03",201,1,NULL,NULL
"BR-9572-C","Brake Disc",82,"43.41",201,1,NULL,NULL
"BV 9515","Brake Disc",82,"64.31",289,1,NULL,NULL
"C12142ABE","Brake Pad Set, disc brake",402,"57.37",4426,1,NULL,NULL
"CA3407","Brake Caliper",78,"102.57",381,1,NULL,NULL
"CA3407R","Brake Caliper",78,"102.57",381,1,NULL,NULL
"D1943","Brake Disc",82,"19.19",6368,1,NULL,NULL
"D2367","Brake Pad Set, disc brake",402,"67.11",6103,1,NULL,NULL
"D2368","Brake Pad Set, disc brake",402,"30.64",6103,1,NULL,NULL
"D7180C","Guide Sleeve Kit, brake caliper",1165,"12.53",351,1,NULL,NULL
"DF8335","Brake Disc",82,"38.52",161,1,NULL,NULL
"DOT3","Brake Fluid",3357,"8.26",4907,1,NULL,NULL
"DOT4","Brake Fluid",3357,"3.48",4907,1,NULL,NULL
"DOT4LV","Brake Fluid",3357,"4.03",4907,1,NULL,NULL
"DP41837R","Brake Pad Set, disc brake",402,"187.07",6368,1,NULL,NULL
"DP61837","Brake Pad Set, disc brake",402,"124.14",6368,1,NULL,NULL
"J3212175","Brake Caliper",78,"49.36",55,1,NULL,NULL
"J3222175","Brake Caliper",78,"147.23",55,1,NULL,NULL
"J3273006","Guide Sleeve Kit, brake caliper",1165,"32.46",55,1,NULL,NULL
"J3282002","Repair Kit, brake caliper",405,"8.54",55,1,NULL,NULL
"J3292000","Piston, brake caliper",2248,"14.02",55,1,NULL,NULL
"J3302000","Brake Disc",82,"50.49",55,1,NULL,NULL
"J3302197","Brake Disc",82,"39.4",55,1,NULL,NULL
"J3302201","Brake Disc",82,"38.11",55,1,NULL,NULL
"J3312081","Brake Disc",82,"30.42",55,1,NULL,NULL
"J3312084","Brake Disc",82,"26.03",55,1,NULL,NULL
"J3602009","Brake Pad Set, disc brake",402,"46.08",55,1,NULL,NULL
"J3602019","Brake Pad Set, disc brake",402,"19.84",55,1,NULL,NULL
"J3612045","Brake Pad Set, disc brake",402,"28.14",55,1,NULL,NULL
"J3612048","Brake Pad Set, disc brake",402,"19.49",55,1,NULL,NULL
"KBP-9116","Brake Pad Set, disc brake",402,"41.68",201,1,NULL,NULL
"KBP-9149","Brake Pad Set, disc brake",402,"25.21",201,1,NULL,NULL
"KS1095","Guide Sleeve Kit, brake caliper",1165,"32.46",89,1,NULL,NULL
"LP2201","Brake Pad Set, disc brake",402,"35.99",89,1,NULL,NULL
"LP3392","Brake Pad Set, disc brake",402,"19.49",89,1,NULL,NULL
"LP3596","Brake Pad Set, disc brake",402,"41.4",89,1,NULL,NULL
"LP3599","Brake Pad Set, disc brake",402,"24.01",89,1,NULL,NULL
"LX0609","Accessory Kit, disc brake pad",1164,"20.28",89,1,NULL,NULL
"MDB3897","Brake Pad Set, disc brake",402,"18.52",73,1,NULL,NULL
"MDB4050","Brake Pad Set, disc brake",402,"19.84",73,1,NULL,NULL
"MDC2912C","Brake Disc",82,"26.03",73,1,NULL,NULL
"N3302190","Brake Disc",82,"90.7",248,1,NULL,NULL
"P0088","Bleeder Screw/Valve, brake caliper",5213,"30.66",4878,1,NULL,NULL
"P83145","Brake Pad Set, disc brake",402,"36.34",206,1,NULL,NULL
"P 83 160","Brake Pad Set, disc brake",402,"27.26",65,1,NULL,NULL
"P83160","Brake Pad Set, disc brake",402,"27.26",206,1,NULL,NULL
"P 83 172","Brake Pad Set, disc brake",402,"45.86",65,1,NULL,NULL
"PA-2026AF","Brake Pad Set, disc brake",402,"53.96",156,1,NULL,NULL
"PP-234AF","Brake Pad Set, disc brake",402,"36.07",156,1,NULL,NULL
"Q 0088","Bleeder Screw/Valve, brake caliper",5213,"0.96",286,1,NULL,NULL
"QP6279","Brake Pad Set, disc brake",402,"27.11",4821,1,NULL,NULL
"RP_3082Z","Brake Fluid",3357,"7.38",6343,1,NULL,NULL
"T604-02","Brake Disc",82,"0.3",442,1,NULL,NULL
"TOY313","Brake Disc",82,"49.27",4935,NULL,NULL,NULL
"TT-CS","Accessory Kit, brake caliper",2513,"1.68",4674,1,NULL,NULL
"TX 18-98","Brake Pad Set, disc brake",402,"34.76",4377,1,NULL,NULL
"TX 19-64","Brake Pad Set, disc brake",402,"36.67",4377,1,NULL,NULL
